id_article,author,year
journals/apjor/LinCFX18,Bing Lin,2018
journals/apjor/LinCFX18,Shaoxiang Chen,2018
journals/apjor/LinCFX18,Yi Feng,2018
journals/apjor/LinCFX18,Jianjun Xu,2018
journals/apjor/ChoiP15,Byung-Cheon Choi,2015
journals/apjor/ChoiP15,Myoung-Ju Park,2015
journals/apjor/SeoLC15,Dong-Won Seo,2015
journals/apjor/SeoLC15,Jinpyo Lee,2015
journals/apjor/SeoLC15,Byeong-Yun Chang,2015
journals/apjor/ZhaoC18,Qi Zhao,2018
journals/apjor/ZhaoC18,Zhongwen Chen,2018
journals/apjor/ChenDZL20,Hongqiao Chen,2020
journals/apjor/ChenDZL20,Xiaosong Ding,2020
journals/apjor/ChenDZL20,Jihong Zhang,2020
journals/apjor/ChenDZL20,Huayi Li,2020
journals/apjor/LiY15,Wenjie Li,2015
journals/apjor/LiY15,Jinjiang Yuan,2015
journals/apjor/PadronG19,Silvia Padrón,2019
journals/apjor/PadronG19,Daniel Guimarans,2019
journals/apjor/LiXXTY17,Jian Li,2017
journals/apjor/LiXXTY17,Zhenjing Xu,2017
journals/apjor/LiXXTY17,Huijuan Xu 0002,2017
journals/apjor/LiXXTY17,Ling Tang,2017
journals/apjor/LiXXTY17,Lean Yu,2017
journals/apjor/FengW18,Yi Feng,2018
journals/apjor/FengW18,Qing Wu,2018
journals/apjor/PengPCZ18,Hongjun Peng,2018
journals/apjor/PengPCZ18,Tao Pang,2018
journals/apjor/PengPCZ18,Fuliang Cao,2018
journals/apjor/PengPCZ18,Juan Zhao,2018
journals/apjor/PengW20,Zhenhua Peng,2020
journals/apjor/PengW20,Zhongping Wan,2020
journals/apjor/ZhangWLC15,Xuemei Zhang,2015
journals/apjor/ZhangWLC15,Yao Wei,2015
journals/apjor/ZhangWLC15,Jiqiong Liu,2015
journals/apjor/ZhangWLC15,Gang Chen,2015
journals/apjor/YuanZ16,Xi Gang Yuan,2016
journals/apjor/YuanZ16,Nan Zhu,2016
journals/apjor/ZhaoZP20,Qitong Zhao,2020
journals/apjor/ZhaoZP20,Chenhao Zhou,2020
journals/apjor/ZhaoZP20,Giulia Pedrielli,2020
journals/apjor/ChatterjeeS17,Subhashis Chatterjee,2017
journals/apjor/ChatterjeeS17,Ankur Shukla,2017
journals/apjor/ChoiP15a,Byung-Cheon Choi,2015
