id_article,author,year
tr/meltdown/m18,Moritz Lipp,2018
tr/meltdown/m18,Michael Schwarz 0001,2018
tr/meltdown/m18,Daniel Gruss,2018
tr/meltdown/m18,Thomas Prescher 0002,2018
tr/meltdown/m18,Werner Haas 0004,2018
tr/meltdown/m18,Stefan Mangard,2018
tr/meltdown/m18,Paul Kocher,2018
tr/meltdown/m18,Daniel Genkin,2018
tr/meltdown/m18,Yuval Yarom,2018
tr/meltdown/m18,Mike Hamburg,2018
